shot_WDIA,t_start_analysis_spectro,t_end_analysis_spectro,NBI scenario 2
37242,978,1078,No NBI plasma. No AE
37243,979,1079,No NBI plasma. No AE
37246,978,1078,No NBI plasma. No AE
37248,978,1077,No NBI plasma. No AE
37254,986,1084,No NBI plasma. No AE
37255,985,1082,No NBI plasma. No AE
37262,984,1076,No NBI plasma. No AE
37267,979,1080,No NBI plasma. No AE
37268,978,1077,No NBI plasma. No AE
37277,994,1095,No NBI plasma. No AE
37286,979,1080,No NBI plasma. No AE
37287,978,1063,No NBI plasma. No AE
37293,979,1080,No NBI plasma. No AE
37296,978,1079,NBI1 start-up
37303,978,1080,NBI1 start-up
37404,977,1150,NBI1 start-up
37419,979,1078,NBI1 start-up
37429,978,1128,NBI1 start-up
37531,969,1108,No NBI plasma. No AE
37533,963,1103,No NBI plasma. No AE
37535,963,1102,No NBI plasma. No AE
37537,964,1104,No NBI plasma. No AE
37541,963,1104,No NBI plasma. No AE
37546,973,1114,No NBI plasma. No AE
37547,978,1117,No NBI plasma. No AE
37548,978,1117,No NBI plasma. No AE
37551,963,1067,No NBI plasma. No AE
37553,963,1069,No NBI plasma. No AE
37557,978,1107,No NBI plasma. No AE
37591,978,1128,NBI1 start-up
37596,978,1128,NBI1 start-up
37649,978,1097,No NBI plasma. No AE
37765,979,1078,NBI1 start-up
37791,980,1078,NBI1 start-up
37830,978,1098,NBI1 start-up
37841,983,1137,NBI2 start-up
37887,979,1137,NBI1 start-up
37894,978,1139,NBI1 start-up
37926,983,1139,NBI2 start-up
37929,982,1139,No NBI plasma. No AE
37967,979,1078,NBI1 start-up
37968,978,1077,NBI1 start-up
37979,979,1038,NBI1 start-up
37986,978,1108,NBI1 start-up
37995,978,1107,NBI1 start-up
38024,982,1075,NBI2 start-up
38026,982,1138,NBI2 start-up
38057,982,1137,NBI2 start-up
38147,987,1087,No NBI plasma. No AE
38148,987,1087,No NBI plasma. No AE
38151,978,1138,NBI1 start-up
38210,985,1154,NBI1 start-up
38229,978,1137,NBI1 start-up
38238,978,1139,NBI1 start-up
38242,978,1138,NBI1 start-up
38300,977,1098,NBI1 start-up
38334,972,1148,NBI1 start-up
38339,978,1155,NBI1 start-up
38350,977,1157,NBI1 start-up
38351,977,1157,NBI1 start-up
38356,978,1156,NBI1 start-up
38361,978,1098,No NBI plasma. No AE
38367,978,1149,NBI1 start-up
38369,978,1148,NBI1 start-up
38384,978,1099,NBI1 start-up
38391,978,1157,NBI1 start-up
38396,978,1157,NBI1 start-up
38397,977,1097,NBI1 start-up
38427,987,1155,NBI2 start-up
38429,986,1163,NBI2 start-up
38446,984,1104,NBI1 start-up
38455,984,1104,NBI1 start-up
38534,981,1155,NBI2 start-up
38564,983,1031,NBI1 start-up
38574,982,1152,NBI2 start-up
38575,986,1157,No NBI plasma. No AE
38578,982,1152,NBI2 start-up
38585,982,1152,NBI2 start-up
38593,983,1134,NBI2 start-up
38614,982,1135,NBI2 start-up
38618,982,1134,NBI2 start-up
38622,982,1134,NBI2 start-up
38628,981,1134,NBI2 start-up
38635,982,1134,NBI2 start-up
38638,982,1133,NBI2 start-up
38647,978,1099,NBI1 start-up
38652,981,1154,NBI2 start-up
38703,978,1091,NBI1 start-up
38705,978,1078,NBI1 start-up
38708,978,1097,NBI1 start-up
38712,977,1098,NBI1 start-up
38724,977,1098,NBI1 start-up
38730,978,1098,NBI1 start-up
38798,981,1138,NBI2 start-up
38825,980,1140,NBI2 start-up
38828,980,1139,NBI2 start-up
38845,978,1098,No NBI plasma. No AE
38864,981,1148,NBI2 start-up
38873,981,1147,NBI2 start-up
38876,981,1149,No NBI plasma. No AE
38899,978,1078,Both NBI start-up
38940,979,1153,NBI1 start-up
38946,978,1155,NBI1 start-up
38954,977,1159,NBI1 start-up
38972,978,1163,NBI1 start-up
39000,978,1148,NBI1 start-up
39004,981,1138,No NBI plasma. No AE
39046,978,1139,NBI1 start-up
39050,978,1138,NBI1 start-up
39067,981,1144,NBI2 start-up
39087,978,1090,NBI1 start-up
39099,981,1162,NBI2 start-up
39100,982,1164,NBI2 start-up
39107,981,1162,NBI2 start-up
39130,981,1147,No NBI plasma. No AE
39131,982,1148,No NBI plasma. No AE
39133,981,1148,No NBI plasma. No AE
39135,981,1149,No NBI plasma. No AE
39178,981,1153,NBI2 start-up
39206,982,1139,NBI2 start-up
39217,981,1138,NBI2 start-up
39219,981,1137,NBI2 start-up
39224,982,1121,NBI2 start-up
39227,981,1139,NBI2 start-up
39228,981,1137,NBI2 start-up
39263,984,1061,NBI2 start-up
39264,984,1163,NBI2 start-up
39267,984,1164,NBI2 start-up
39272,983,1164,NBI2 start-up
39274,984,1162,NBI2 start-up
39307,981,1163,NBI2 start-up
39357,981,1142,NBI2 start-up
